C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_027.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_027.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_027.jpg,0,0,0,5.189085E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_096.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_096.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_096.jpg,0,0,0,5.130238E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_163.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_163.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_163.jpg,0,0,0,5.164109E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_229.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_229.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_229.jpg,0,0,0,5.698596E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_297.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_297.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_297.jpg,0,0,0,5.081809E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_365.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_365.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_365.jpg,0,0,0,5.146026E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_434.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_434.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_434.jpg,0,0,0,5.120984E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_501.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_501.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_501.jpg,0,0,0,5.243197E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_569.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_569.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_569.jpg,0,0,0,5.159822E-05
C:\Users\jakub\Desktop\Data\IMG\center_2022_11_30_14_15_58_636.jpg,C:\Users\jakub\Desktop\Data\IMG\left_2022_11_30_14_15_58_636.jpg,C:\Users\jakub\Desktop\Data\IMG\right_2022_11_30_14_15_58_636.jpg,0,0,0,5.091557E-05
